claim_id,insured_name,claim_amount,claim_date,claim_type,investigation_status
1,John Smith,2500,2022-01-05,Auto Insurance,Under Investigation
2,Sarah Johnson,5000,2022-02-10,Health Insurance,Approved
3,Michael Davis,10000,2022-03-15,Home Insurance,Rejected
4,Emily Wilson,15000,2022-04-20,Auto Insurance,Approved
5,Robert Anderson,8000,2022-05-25,Life Insurance,Under Investigation
6,Olivia Thompson,3000,2022-06-30,Health Insurance,Rejected
7,David Martinez,12000,2022-07-05,Auto Insurance,Approved
8,Sophia Lee,2000,2022-08-10,Home Insurance,Rejected
9,James Rodriguez,10000,2022-09-15,Auto Insurance,Under Investigation
10,Emma Taylor,5000,2022-10-20,Life Insurance,Approved
11,William Hernandez,4000,2022-11-25,Auto Insurance,Approved
12,Isabella Moore,8000,2022-12-30,Health Insurance,Rejected
13,Aiden Brown,15000,2023-01-05,Auto Insurance,Under Investigation
14,Mia Clark,1000,2023-02-10,Home Insurance,Rejected
15,Liam Lewis,6000,2023-03-15,Auto Insurance,Approved
16,Sofia Green,2000,2023-04-20,Life Insurance,Approved
17,Noah Baker,9000,2023-05-25,Auto Insurance,Under Investigation
18,Ava Gonzalez,4000,2023-06-30,Health Insurance,Rejected
19,Lucas Martinez,7000,2023-07-05,Auto Insurance,Approved
20,Charlotte Hill,25000,2023-08-10,Home Insurance,Rejected
21,Harper Collins,12000,2023-09-15,Auto Insurance,Under Investigation
22,Emma Adams,3000,2023-10-20,Life Insurance,Approved
23,Liam Turner,5000,2023-11-25,Auto Insurance,Approved
24,Olivia Harris,10000,2023-12-30,Health Insurance,Rejected
25,Noah Butler,2000,2024-01-05,Auto Insurance,Under Investigation
26,Ava Carter,4000,2024-02-10,Home Insurance,Rejected
27,Lucas Moore,8000,2024-03-15,Auto Insurance,Approved
28,Emily Rivera,1500,2024-04-20,Life Insurance,Approved
29,Aiden Scott,6000,2024-05-25,Auto Insurance,Under Investigation
30,Sophia Adams,2000,2024-06-30,Health Insurance,Rejected
31,Liam Phillips,10000,2024-07-05,Auto Insurance,Approved
32,Olivia Wilson,2500,2024-08-10,Home Insurance,Rejected
33,Noah Turner,12000,2024-09-15,Auto Insurance,Under Investigation
34,Ava Hernandez,4000,2024-10-20,Life Insurance,Approved
35,Lucas Lewis,7000,2024-11-25,Auto Insurance,Approved
36,Emily Baker,25000,2024-12-30,Health Insurance,Rejected
37,William Thompson,9000,2025-01-05,Auto Insurance,Under Investigation
38,Sophia Martinez,1000,2025-02-10,Home Insurance,Rejected
39,Liam Clark,6000,2025-03-15,Auto Insurance,Approved
40,Olivia Green,2000,2025-04-20,Life Insurance,Approved
41,Noah Brown,8000,2025-05-25,Auto Insurance,Under Investigation
42,Ava Collins,3000,2025-06-30,Health Insurance,Rejected
43,Lucas Wilson,5000,2025-07-05,Auto Insurance,Approved
44,Emily Hill,10000,2025-08-10,Home Insurance,Rejected
